"Timestamp","GENDER","AGE RANGE","FACULTY","LEVEL","How often do you exercise ","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise enhances my ability to concentrate and focus]","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise can be an effective way to manage symptoms of depression]","Knowledge and awareness on psychological benefits of exercise [Exercise is an effective way to boost self esteem and confidence]","Exercise Frequency  [I am proud of the amount of exercise I do]","Exercise Frequency  [I feel more confident and self assured when I engage in regular physical activity]","Exercise Frequency  [I believe that maintaining a consistent exercise frequency is essential for my psychological wellbeing]","Exercise duration [Engaging in exercise sessions lasting less than 10 minutes positively affects my psychological wellbeing]","Exercise duration [I feel more psychologically refreshed after exercising for 30 minutes or longer]","Exercise duration [The longer I exercise (over 60 minutes), the more beneficial it is for my overall psychological wellbeing]","Exercise Intensity  [I feel more relaxed after engaging in high-intensity exercise]","Exercise Intensity  [High intensity exercise contributes to better sleep quality for me]","Exercise Intensity  [I find that vigorous exercise boosts my overall sense of well-being]","Stress [Regular exercise helps me manage and reduce my stress levels]","Stress [Exercise helps to reduce the tension in me]","Stress [Exercise is an effective way for me to relax and unwind]","Stress [I personally feel that exercise is the best thing for me]","Mood [I experience an improved mood after engaging in exercise]","Mood [I feel happier and more relaxed after engaging in regular exercise]","Mood [I experience an increase in energy and motivation through regular exercise]"
"2023/09/25 2:55:33 pm CET","Male","21-25","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/25 2:57:41 pm CET","Male","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:41:26 am CET","Female","21-25","Education","100","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:41:57 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:43:41 am CET","Female","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:47:04 am CET","Male","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:48:14 am CET","Male","26-30","Education","400","Hardly ever","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:49:28 am CET","Male","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:53:40 am CET","Male","16-20","Education","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 6:54:08 am CET","Female","21-25","Education","300","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 6:54:59 am CET","Male","21-25","Education","200","Several times a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/26 7:06:44 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:10:31 am CET","Male","21-25","Education","100","Several times a week","More True","True","More True","More True","True","More True","True","More True","True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/26 9:11:21 am CET","Female","26-30","Education","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:11:48 am CET","Female","21-25","Education","200","Once a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:12:18 am CET","Female","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:14:31 am CET","Female","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:15:02 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:15:31 am CET","Female","21-25","Education","300","Hardly ever","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:16:08 am CET","Male","21-25","Education","300","Once or twice a month","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","True","More True","True","True"
"2023/09/26 9:16:42 am CET","Male","21-25","Education","300","Several times a week","More True","True","More True","More True","More True","True","More True","More True","True","More True","True","More True","More True","True","True","More True","More True","True","More True"
"2023/09/26 9:17:11 am CET","Female","30 years and above","Education","400","Once or twice a month","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:17:41 am CET","Female","21-25","Education","300","Once or twice a month","More True","True","True","True","True","More True","True","True","True","More True","True","More True","More True","True","True","More True","More True","True","More True"
"2023/09/26 9:18:11 am CET","Female","21-25","Education","200","Hardly ever","More True","True","More True","True","More True","True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","True","More True"
"2023/09/26 9:18:36 am CET","Male","21-25","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:19:01 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:19:27 am CET","Male","26-30","Education","300","Hardly ever","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:19:56 am CET","Male","26-30","Education","400","Once or twice a month","More True","True","More True","True","True","More True","More True","True","True","More True","More True","More True","True","True","True","True","More True","More True","More True"
"2023/09/26 9:20:26 am CET","Male","26-30","Education","100","Once or twice a month","More True","True","More True","True","More True","True","More True","More True","More True","","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:20:52 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:21:20 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:21:47 am CET","Female","21-25","Education","400","Once or twice a month","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:23:04 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:24:00 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:24:56 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:25:25 am CET","Male","21-25","Education","300","Several times a week","More True","True","More True","More True","True","More True","True","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:26:02 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:26:41 am CET","Male","26-30","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:28:15 am CET","Male","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:28:43 am CET","Female","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:29:14 am CET","Male","21-25","Education","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:29:45 am CET","Female","21-25","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:30:49 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:31:58 am CET","Male","26-30","Education","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:33:31 am CET","Female","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:33:59 am CET","Female","21-25","Education","300","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:34:26 am CET","Female","21-25","Education","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:35:01 am CET","Female","21-25","Education","400","Once a week","More True","More True","More True","More True","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:35:32 am CET","Male","26-30","Education","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:36:01 am CET","Female","30 years and above","Education","400","Hardly ever","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False"
"2023/09/26 9:37:03 am CET","Female","21-25","Education","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:37:32 am CET","Female","30 years and above","Education","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 9:38:14 am CET","Male","21-25","Education","200","Once a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 9:38:44 am CET","Female","16-20","Education","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 10:31:35 am CET","Male","21-25","Engineering","400","Once a week","More True","True","More False","More True","More True","More False","True","True","More True","More True","True","More True","True","More True","More True","True","More True","More True","True"
"2023/09/26 10:32:10 am CET","Female","16-20","Engineering","200","Once or twice a month","True","More True","More True","More True","True","True","More True","More True","True","More True","True","More True","More True","True","True","True","More True","More True","True"
"2023/09/26 10:32:41 am CET","Male","21-25","Engineering","300","Several times a week","More True","True","More True","More True","More True","True","True","More True","True","True","More True","More True","True","More True","True","More True","More True","True","More True"
"2023/09/26 10:33:10 am CET","Female","21-25","Engineering","300","Once or twice a month","True","More True","More True","More True","True","More True","True","More True","True","True","True","","More True","More True","True","More True","More True","True","More True"
"2023/09/26 10:33:53 am CET","Female","16-20","Engineering","100","Once or twice a month","More True","True","More True","More True","True","More True","True","More True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True"
"2023/09/26 10:34:34 am CET","Male","16-20","Engineering","200","Several times a week","More True","True","More True","True","True","More True","More True","More False","More True","False","More True","More False","More True","True","True","More True","False","True","More True"
"2023/09/26 10:35:32 am CET","Male","21-25","Engineering","500","Once a week","More True","True","More True","True","More True","False","More True","True","More True","True","True","More True","More True","True","More True","False","False","More True","True"
"2023/09/26 11:57:14 am CET","Male","21-25","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 11:57:36 am CET","Male","21-25","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 11:58:03 am CET","Male","26-30","Engineering","500","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 11:58:31 am CET","Male","26-30","Engineering","500","Hardly ever","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 11:58:56 am CET","Male","21-25","Engineering","500","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 11:59:34 am CET","Male","21-25","Engineering","500","Several times a week","More True","More True","More True","More True","More True","More True","True","True","True","True","True","True","More True","True","More True","More True","True","True","More True"
"2023/09/26 12:00:18 pm CET","Male","21-25","Engineering","500","Once a week","More True","More True","More True","False","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:01:01 pm CET","Male","21-25","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:01:31 pm CET","Male","26-30","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:01:56 pm CET","Male","21-25","Engineering","500","Hardly ever","More True","True","More True","True","True","More True","True","True","More True","True","True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:02:50 pm CET","Male","21-25","Engineering","500","Once a week","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:03:17 pm CET","Male","26-30","Engineering","500","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:03:44 pm CET","Male","21-25","Engineering","500","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:04:09 pm CET","Male","21-25","Engineering","500","Once or twice a month","More True","More True","True","True","More True","More True","True","True","More True","More True","True","True","More True","More True","True","True","More True","More True","True"
"2023/09/26 12:04:39 pm CET","Male","30 years and above","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True","More True","More True","True","True","True"
"2023/09/26 12:05:09 pm CET","Male","21-25","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:05:46 pm CET","Male","26-30","Engineering","500","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:06:29 pm CET","Male","26-30","Engineering","500","Several times a week","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","True","More True","More True","More True","More True","True","True"
"2023/09/26 12:07:05 pm CET","Male","26-30","Engineering","500","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:07:29 pm CET","Male","26-30","Engineering","500","Several times a week","True","True","True","More True","True","True","More True","More True","More True","True","True","More True","True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:08:18 pm CET","Female","21-25","Engineering","400","Once or twice a month","More True","More True","More True","True","True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","True","More True","More True","True"
"2023/09/26 12:08:45 pm CET","Female","21-25","Engineering","400","Once a week","More True","More True","True","More True","More True","True","More True","True","True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:09:10 pm CET","Female","21-25","Engineering","400","Once or twice a month","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:09:33 pm CET","Female","26-30","Engineering","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:10:02 pm CET","Female","26-30","Engineering","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","True","More True","True","More True","More True","True","True","More True","More True","True","More True"
"2023/09/26 12:10:26 pm CET","Female","21-25","Engineering","400","Once a week","More True","True","More True","More True","True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:11:37 pm CET","Female","21-25","Engineering","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:12:04 pm CET","Female","21-25","Engineering","400","Once or twice a month","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","True"
"2023/09/26 12:12:33 pm CET","Female","21-25","Engineering","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:13:17 pm CET","Female","21-25","Engineering","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:13:42 pm CET","Female","26-30","Engineering","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:14:05 pm CET","Female","21-25","Engineering","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:14:53 pm CET","Female","26-30","Engineering","400","Once or twice a month","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:15:22 pm CET","Female","21-25","Engineering","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:16:02 pm CET","Male","21-25","Engineering","400","Hardly ever","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2023/09/26 12:16:26 pm CET","Female","21-25","Engineering","400","Hardly ever","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2023/09/26 12:16:51 pm CET","Female","21-25","Engineering","400","Hardly ever","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"2023/09/26 12:17:14 pm CET","Male","21-25","Engineering","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:17:50 pm CET","Male","21-25","Engineering","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 12:18:13 pm CET","Male","21-25","Engineering","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:44:28 pm CET","Female","21-25","Engineering","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
