"Timestamp","GENDER","AGE RANGE","FACULTY","LEVEL","How often do you exercise ","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise enhances my ability to concentrate and focus]","Knowledge and awareness on psychological benefits of exercise [Engaging in regular exercise can be an effective way to manage symptoms of depression]","Knowledge and awareness on psychological benefits of exercise [Exercise is an effective way to boost self esteem and confidence]","Exercise Frequency  [I am proud of the amount of exercise I do]","Exercise Frequency  [I feel more confident and self assured when I engage in regular physical activity]","Exercise Frequency  [I believe that maintaining a consistent exercise frequency is essential for my psychological wellbeing]","Exercise duration [Engaging in exercise sessions lasting less than 10 minutes positively affects my psychological wellbeing]","Exercise duration [I feel more psychologically refreshed after exercising for 30 minutes or longer]","Exercise duration [The longer I exercise (over 60 minutes), the more beneficial it is for my overall psychological wellbeing]","Exercise Intensity  [I feel more relaxed after engaging in high-intensity exercise]","Exercise Intensity  [High intensity exercise contributes to better sleep quality for me]","Exercise Intensity  [I find that vigorous exercise boosts my overall sense of well-being]","Stress [Regular exercise helps me manage and reduce my stress levels]","Stress [Exercise helps to reduce the tension in me]","Stress [Exercise is an effective way for me to relax and unwind]","Stress [I personally feel that exercise is the best thing for me]","Mood [I experience an improved mood after engaging in exercise]","Mood [I feel happier and more relaxed after engaging in regular exercise]","Mood [I experience an increase in energy and motivation through regular exercise]"
"2023/09/26 1:44:53 pm CET","Female","21-25","Engineering","300","Once or twice a month","More True","True","True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:45:23 pm CET","Female","21-25","Engineering","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 1:46:03 pm CET","Female","21-25","Engineering","300","Once or twice a month","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","More True","More True"
"2023/09/26 1:46:36 pm CET","Female","21-25","Engineering","300","Several times a week","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False"
"2023/09/26 1:47:03 pm CET","Male","21-25","Engineering","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:47:33 pm CET","Female","21-25","Engineering","300","Once a week","More True","True","More True","More True","True","More True","More True","More True","More True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:48:05 pm CET","Female","21-25","Engineering","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:48:40 pm CET","Male","21-25","Engineering","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 1:49:06 pm CET","Male","21-25","Engineering","300","Hardly ever","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False"
"2023/09/26 1:49:41 pm CET","Female","21-25","Engineering","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:51:31 pm CET","Male","21-25","Engineering","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:51:57 pm CET","Male","21-25","Engineering","200","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:52:23 pm CET","Male","21-25","Engineering","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:52:53 pm CET","Male","21-25","Engineering","200","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:53:17 pm CET","Female","16-20","Engineering","100","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:53:48 pm CET","Male","21-25","Engineering","100","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 1:55:18 pm CET","Male","26-30","Engineering","200","Several times a week","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 10:48:53 pm CET","Male","21-25","Management Science","200","Once or twice a month","True","More True","True","More True","More True","More True","More True","More True","More True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 10:50:03 pm CET","Female","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 10:51:06 pm CET","Female","16-20","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 10:51:56 pm CET","Male","21-25","Management Science","100","Several times a week","False","More False","True","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True","More True","True","More False"
"2023/09/26 10:52:35 pm CET","Female","16-20","Management Science","500","Once a week","More True","True","More False","False","More False","True","More True","True","More False","False","More False","True","More True","True","More False","False","True","True","True"
"2023/09/26 10:53:42 pm CET","Male","21-25","Management Science","400","Once a week","More True","True","True","True","True","True","True","More True","True","True","True","More True","More True","More True","True","More True","True","True","More True"
"2023/09/26 10:54:32 pm CET","Female","21-25","Management Science","200","Hardly ever","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","True","More True","More True","More True","More True","More True","True","True","More True"
"2023/09/26 10:58:54 pm CET","Female","21-25","Engineering","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 11:00:06 pm CET","Male","16-20","Engineering","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/26 11:01:20 pm CET","Female","21-25","Engineering","300","Once or twice a month","More True","More True","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/26 11:02:09 pm CET","Female","26-30","Engineering","400","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","True","True","True","True","True","True"
"2023/09/26 11:02:52 pm CET","Female","21-25","Engineering","400","Several times a week","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","True","More True","True","More True","True","False","More False","True"
"2023/09/26 11:03:45 pm CET","Male","16-20","Engineering","100","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","True","True","More True","True","More True","More True","More True","More True","True","More True"
"2023/09/26 11:04:19 pm CET","Female","30 years and above","Engineering","500","Several times a week","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False","More False"
"2023/09/26 11:05:50 pm CET","Female","26-30","Engineering","200","Once or twice a month","True","True","True","True","True","True","True","True","More True","More True","More True","More True","False","More False","More True","More False","False","More False","True"
"2023/09/26 11:06:04 pm CET","Female","26-30","Engineering","100","Hardly ever","More True","True","True","True","True","True","True","True","True","True","True","True","More True","True","More False","More False","More False","More False","True"
"2023/09/27 3:54:07 am CET","Male","21-25","Management Science","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 3:54:43 am CET","Male","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 3:55:16 am CET","Male","21-25","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 3:55:47 am CET","Female","26-30","Management Science","400","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","More True","True","More True","True","More True","True"
"2023/09/27 3:56:29 am CET","Male","21-25","Management Science","100","Once a week","More True","More True","More True","More False","More True","More True","More False","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 3:57:59 am CET","Male","16-20","Management Science","100","Several times a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True"
"2023/09/27 3:58:37 am CET","Female","30 years and above","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 3:59:11 am CET","Male","26-30","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 4:01:54 am CET","Female","16-20","Management Science","100","Hardly ever","More False","More False","True","More False","More False","More False","True","True","True","True","True","True","False","True","True","More False","True","True","More False"
"2023/09/27 4:02:44 am CET","Female","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 4:03:15 am CET","Male","16-20","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 4:04:13 am CET","Male","21-25","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 4:05:43 am CET","Male","26-30","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 4:06:16 am CET","Female","26-30","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:39:10 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:39:49 am CET","Female","21-25","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:41:14 am CET","Male","26-30","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:42:23 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:45:12 am CET","Female","21-25","Management Science","100","Hardly ever","More True","More True","True","True","True","More True","True","True","More True","True","True","More True","True","More True","True","More True","True","More True","True"
"2023/09/27 8:46:09 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 8:46:38 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:54:17 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:54:46 am CET","Female","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:55:51 am CET","Female","16-20","Management Science","300","Hardly ever","True","True","False","False","True","True","True","True","True","True","True","True","More True","More True","More True","True","More True","More True","More True"
"2023/09/27 8:57:17 am CET","Female","21-25","Management Science","100","Several times a week","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 8:58:48 am CET","Male","16-20","Management Science","100","Once a week","True","More True","More True","False","True","True","More True","More True","More True","True","True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 9:00:06 am CET","Male","21-25","Management Science","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","True","True","True","True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 9:01:42 am CET","Female","16-20","Management Science","200","Hardly ever","False","True","True","False","True","True","True","True","True","False","False","False","True","True","True","True","More True","More True","More True"
"2023/09/27 9:04:52 am CET","Male","21-25","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 9:07:43 am CET","Male","26-30","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:11:05 am CET","Female","21-25","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:13:22 am CET","Male","21-25","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:17:32 am CET","Female","21-25","Management Science","300","Several times a week","More True","True","More True","True","True","True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:18:01 am CET","Male","21-25","Management Science","400","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:18:28 am CET","Female","21-25","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:30:36 am CET","Male","21-25","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:31:02 am CET","Female","26-30","Management Science","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:34:04 am CET","Male","21-25","Management Science","200","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:35:15 am CET","Male","26-30","Management Science","500","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:36:03 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:43:50 am CET","Male","21-25","Management Science","200","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:44:14 am CET","Female","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:44:40 am CET","Male","30 years and above","Management Science","400","Hardly ever","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:45:03 am CET","Female","26-30","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:45:32 am CET","Female","26-30","Management Science","200","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:46:07 am CET","Male","26-30","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:46:31 am CET","Female","26-30","Management Science","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:46:56 am CET","Male","21-25","Management Science","300","Once or twice a month","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:47:20 am CET","Male","21-25","Management Science","400","Several times a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:47:45 am CET","Female","21-25","Management Science","100","Several times a week","More True","True","More True","True","More True","True","More True","True","True","More True","True","More True","True","More True","True","True","More True","True","True"
"2023/09/27 10:48:08 am CET","Male","26-30","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:50:48 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:51:14 am CET","Male","21-25","Education","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:51:54 am CET","Male","21-25","Management Science","100","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:52:23 am CET","Male","26-30","Management Science","300","Once or twice a month","More True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","More True","True","More True"
"2023/09/27 10:53:05 am CET","Male","21-25","Management Science","100","Once a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","True","True","More True","True","More True"
"2023/09/27 10:53:35 am CET","Male","21-25","Management Science","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:54:13 am CET","Male","21-25","Management Science","300","Once a week","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","True","More True","More True","More True"
"2023/09/27 10:54:47 am CET","Male","21-25","Management Science","300","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:55:31 am CET","Female","26-30","Management Science","400","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:57:38 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","True","More True","True","More True","More True","True","More True","More True","True","More True","True","More True","More True","More True","More True","More True","More True","True"
"2023/09/27 10:58:13 am CET","Male","21-25","Management Science","300","Once a week","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"2023/09/27 10:58:37 am CET","Male","21-25","Management Science","300","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:01 am CET","Female","26-30","Management Science","100","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:25 am CET","Female","21-25","Management Science","300","Several times a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 10:59:55 am CET","Male","21-25","Management Science","200","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"
"2023/09/27 11:00:24 am CET","Male","30 years and above","Management Science","100","Once or twice a month","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","True"
"2023/09/27 11:02:11 am CET","Male","21-25","Management Science","200","Once a week","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True","More True"